IMDB_ID,Title,Stars,Year,Genres,Description,Certificate,Writers,Director,Primary Genre,Votes,Rating,Duration
tt0263488,Jeepers Creepers,"Gina Philips, Justin Long, Jonathan Breck, Gina Philips, Justin Long, Jonathan Breck",2001,"Monster Horror, Slasher Horror, Teen Horror, Horror, Mystery, Back to top",A brother and sister driving home through isolated countryside for spring break encounter a flesh-eating creature which is in the midst of its ritualistic eating spree.,R,Victor Salva,Victor Salva,Monster Horror,149143,6.2,90
tt0105690,Under Siege,"Steven Seagal, Gary Busey, Tommy Lee Jones, Steven Seagal, Gary Busey, Tommy Lee Jones",1992,"One-Person Army Action, Sea Adventure, Action, Thriller, Back to top",An ex-Navy Seal turned cook is the only person who can stop a group of terrorists when they seize control of a U.S. battleship.,R,J.F. Lawton,Andrew Davis,One-Person Army Action,98464,6.5,103
tt1078912,Night at the Museum: Battle of the Smithsonian,"Ben Stiller, Owen Wilson, Amy Adams, Ben Stiller, Owen Wilson, Amy Adams",2009,"Adventure, Comedy, Family, Fantasy, Back to top","Security guard Larry Daley infiltrates the Smithsonian Institution in order to rescue Jedediah and Octavius, who have been shipped to the museum by mistake.",PG,"Thomas Lennon, Robert Ben Garant",Shawn Levy,Adventure,219511,6,105
tt0457495,Stormbreaker,"Alex Pettyfer, Mickey Rourke, Sophie Okonedo, Alex Pettyfer, Mickey Rourke, Sophie Okonedo",2006,"Spy, Action, Adventure, Family, Mystery, Romance, Thriller, Back to top","After the death of his uncle, the 14-year-old schoolboy Alex Rider is forced by the Special Operations Division of the UK's secret intelligence service, MI6, into a mission which will save m... Read all",PG,Anthony Horowitz,Geoffrey Sax,Spy,26031,5.1,93
tt0265632,Recess: School's Out,"Andrew Lawrence, Rickey D'Shon Collins, Jason Davis, Andrew Lawrence, Rickey D'Shon Collins, Jason Davis",2001,"Adventure, Animation, Comedy, Family, Back to top",T.J. and the gang must save summer vacation from disappearing forever.,G,"Joe Ansolabehere, Jonathan Greenberg, Paul Germain",Chuck Sheetz,Adventure,12061,6.5,82
tt0097737,Leviathan,"Peter Weller, Richard Crenna, Amanda Pays, Peter Weller, Richard Crenna, Amanda Pays",1989,"Body Horror, Adventure, Horror, Mystery, Sci-Fi, Thriller, Back to top","Perched on the hull of a wrecked Soviet freighter, a team of deep-sea miners led by head oceanographer Steven Beck comes face to face with a mutant creature that's the product of a failed ge... Read all",R,"David Webb Peoples, Jeb Stuart",George P. Cosmatos,Body Horror,25269,5.8,98
tt0198386,The Crew,"Richard Dreyfuss, Burt Reynolds, Dan Hedaya, Richard Dreyfuss, Burt Reynolds, Dan Hedaya",2000,"Comedy, Crime, Back to top",Four retired mobsters plan one last crime to save their retirement home.,PG-13,Barry Fanaro,Michael Dinner,Comedy,6771,5.6,88
tt4302938,Kubo and the Two Strings,"Charlize Theron, Art Parkinson, Matthew McConaughey, Charlize Theron, Art Parkinson, Matthew McConaughey",2016,"Adventure Epic, Fantasy Epic, Quest, Samurai, Stop Motion Animation, Sword & Sorcery, Action, Adventure, Animation, Family, Back to top",A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.,PG,"Shannon Tindle, Marc Haimes, Chris Butler",Travis Knight,Adventure Epic,142179,7.7,101
tt0087597,The Last Starfighter,"Lance Guest, Robert Preston, Kay E. Kuter, Lance Guest, Robert Preston, Kay E. Kuter",1984,"Space Sci-Fi, Teen Adventure, Action, Adventure, Sci-Fi, Back to top","High schooler Alex Rogan conquers the Starfighter video game, only to find out it was just a test, and is transported to another planet. He has been recruited to join a team of the best star... Read all",PG,Jonathan R. Betuel,Nick Castle,Space Sci-Fi,47779,6.7,100
tt0815241,Religulous,"Bill Maher, Tal Bachman, Jonathan Boulden, Bill Maher, Tal Bachman, Jonathan Boulden",2008,"Faith & Spirituality Documentary, Satire, Comedy, Documentary, War, Back to top",Bill Maher's take on the current state of world religion.,R,Bill Maher,Larry Charles,Faith & Spirituality Documentary,60642,7.6,101
tt0193560,Texas Rangers,"James Van Der Beek, Rachael Leigh Cook, Ashton Kutcher, James Van Der Beek, Rachael Leigh Cook, Ashton Kutcher",2001,"Action, Adventure, Drama, Thriller, Western, Back to top","A ragtag group of youngsters band together after the American Civil War to form the Texas Rangers, a group charged with the dangerous, ruthless duty of cleaning up the West.",PG-13,"George Durham, Martin Copeland, Scott Busby",Steve Miner,Action,6455,5.2,90
tt1213644,Disaster Movie,"Carmen Electra, Vanessa Lachey, Nicole Parker, Carmen Electra, Vanessa Lachey, Nicole Parker",2008,"Disaster, Parody, Raunchy Comedy, Superhero, Comedy, Sci-Fi, Back to top","Over the course of one evening, an unsuspecting group of twenty-somethings find themselves bombarded by a series of natural disasters and catastrophic events.",PG-13,"Jason Friedberg, Aaron Seltzer",Jason Friedberg,Disaster,95949,1.9,87
tt1785635,The Vault,"James Franco, Scott Haze, Taryn Manning, James Franco, Scott Haze, Taryn Manning",2017,"Supernatural Horror, Crime, Horror, Mystery, Thriller, Back to top",Two estranged sisters are forced to rob a bank in order to save their brother. But this is no ordinary bank.,Not Rated,"Dan Bush, Conal Byrne",Dan Bush,Supernatural Horror,13952,4.9,91
tt0304141,Harry Potter and the Prisoner of Azkaban,"Daniel Radcliffe, Emma Watson, Rupert Grint, Daniel Radcliffe, Emma Watson, Rupert Grint",2004,"Sword & Sorcery, Teen Adventure, Teen Fantasy, Adventure, Family, Fantasy, Mystery, Back to top","Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses... Read all",PG,"Steve Kloves, J.K. Rowling",Alfonso Cuarón,Sword & Sorcery,723636,7.9,142
tt1229360,It Might Get Loud,"Jimmy Page, The Edge, Jack White, Jimmy Page, The Edge, Jack White",2008,"Music Documentary, Documentary, Music, Back to top","A documentary on the electric guitar from the point of view of three significant rock musicians: The Edge, Jimmy Page, and Jack White.",PG,,Davis Guggenheim,Music Documentary,13753,7.6,98
tt2402157,The November Man,"Pierce Brosnan, Luke Bracey, Olga Kurylenko, Pierce Brosnan, Luke Bracey, Olga Kurylenko",2014,"Spy, Action, Adventure, Crime, Mystery, Thriller, Back to top",An ex-C.I.A. operative is brought back in on a very personal mission and finds himself pitted against his former pupil in a deadly game involving high-level C.I.A. officials and the Russian ... Read all,R,"Bill Granger, Michael Finch, Karl Gajdusek",Roger Donaldson,Spy,71755,6.3,108
tt3859304,The Bronze,"Melissa Rauch, Gary Cole, Haley Lu Richardson, Melissa Rauch, Gary Cole, Haley Lu Richardson",2015,"Comedy, Drama, Sport, Back to top",A foul-mouthed former gymnastics bronze medalist with local celebrity status reluctantly trains a rising Olympics aspirant.,R,"Melissa Rauch, Winston Rauch",Bryan Buckley,Comedy,13867,6.1,100
tt1234548,The Men Who Stare at Goats,"Ewan McGregor, George Clooney, Kevin Spacey, Ewan McGregor, George Clooney, Kevin Spacey",2009,"Dark Comedy, Satire, Comedy, War, Back to top","A reporter in Iraq might just have the story of a lifetime when he meets Lyn Cassady, a guy who claims to be a former member of the U.S. Army's New Earth Army, a unit that employs paranormal... Read all",R,"Jon Ronson, Peter Straughan",Grant Heslov,Dark Comedy,139611,6.2,94
tt1441326,Martha Marcy May Marlene,"Elizabeth Olsen, Sarah Paulson, John Hawkes, Elizabeth Olsen, Sarah Paulson, John Hawkes",2011,"Psychological Drama, Psychological Thriller, Drama, Mystery, Thriller, Back to top","Haunted by painful memories and increasing paranoia, a damaged woman struggles to re-assimilate with her family after fleeing an abusive cult.",R,Sean Durkin,Sean Durkin,Psychological Drama,56939,6.8,102
tt0095895,Powaqqatsi,"Christie Brinkley, David Brinkley, Patrick Disanto, Christie Brinkley, David Brinkley, Patrick Disanto",1988,"Documentary, Music, Back to top",An exploration of technologically developing nations and the effect the transition to Western-style modernization has had on them.,G,"Ken Richards, Godfrey Reggio",Godfrey Reggio,Documentary,9099,7.2,99
tt0093176,Hello Mary Lou: Prom Night II,"Lisa Schrage, Michael Ironside, Wendy Lyon, Lisa Schrage, Michael Ironside, Wendy Lyon",1987,"Slasher Horror, Supernatural Horror, Teen Horror, Horror, Thriller, Back to top","Thirty years after her accidental death at her 1957 senior prom, the tortured spirit of prom queen Mary Lou Maloney returns to seek revenge.",R,Ron Oliver,Bruce Pittman,Slasher Horror,8304,5.8,97
